Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513318,1602.796,1,OK,0.0981046,-0.0760899,-0.9922630,0.0000000,159.901,2.154,-137.614,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513326,1602.821,1,OK,0.0981816,-0.0749534,-0.9923419,0.0000000,159.879,2.121,-137.622,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513334,1602.846,1,OK,0.0983932,-0.0757256,-0.9922623,0.0000000,159.854,2.148,-137.643,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513342,1602.871,1,OK,0.0985027,-0.0747127,-0.9923282,0.0000000,159.819,2.114,-137.642,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513350,1602.896,1,OK,0.0985371,-0.0731654,-0.9924401,0.0000000,159.816,2.084,-137.658,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513358,1602.921,1,OK,0.0984756,-0.0739538,-0.9923877,0.0000000,159.840,2.105,-137.661,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513366,1602.946,1,OK,0.0984547,-0.0749393,-0.9923159,0.0000000,159.848,2.132,-137.652,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513374,1602.971,1,OK,0.0983584,-0.0770618,-0.9921628,0.0000000,159.871,2.180,-137.636,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513382,1602.996,1,OK,0.0983637,-0.0752103,-0.9923044,0.0000000,159.862,2.135,-137.643,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513390,1603.021,1,OK,0.0985208,-0.0748726,-0.9923143,0.0000000,159.819,2.116,-137.646,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513398,1603.046,1,OK,0.0984641,-0.0748910,-0.9923186,0.0000000,159.834,2.133,-137.635,0.0000000,0
